turn_id,audio_file,pause_index,pause_start,pause_end,label
hi__077,audio/hi__077.wav,0,3.9,4.1,hold
hi__077,audio/hi__077.wav,1,5.0,5.4,hold
hi__077,audio/hi__077.wav,2,7.5,8.39,eot
hi__079,audio/hi__079.wav,0,8.2,8.6,hold
hi__079,audio/hi__079.wav,1,14.5,15.1,hold
hi__079,audio/hi__079.wav,2,16.9,18.202,eot
hi__081,audio/hi__081.wav,0,7.4,7.7,hold
hi__081,audio/hi__081.wav,1,18.0,18.4,hold
hi__081,audio/hi__081.wav,2,20.2,21.104,eot
hi__083,audio/hi__083.wav,0,4.3,4.971,eot
hi__084,audio/hi__084.wav,0,2.0,3.802,eot
hi__085,audio/hi__085.wav,0,6.2,6.6,hold
hi__085,audio/hi__085.wav,1,9.7,10.2,hold
hi__085,audio/hi__085.wav,2,16.4,16.55,eot
hi__087,audio/hi__087.wav,0,7.5,8.4,hold
hi__087,audio/hi__087.wav,1,13.3,13.6,hold
hi__087,audio/hi__087.wav,2,16.8,17.486,eot
hi__088,audio/hi__088.wav,0,13.1,13.5,hold
hi__088,audio/hi__088.wav,1,18.8,19.0,hold
hi__088,audio/hi__088.wav,2,29.6,30.611,eot
hi__089,audio/hi__089.wav,0,3.6,4.2,hold
hi__089,audio/hi__089.wav,1,6.9,7.4,hold
hi__089,audio/hi__089.wav,2,14.6,16.413,eot
hi__091,audio/hi__091.wav,0,3.4,3.615,eot
hi__094,audio/hi__094.wav,0,2.4,2.6,hold
hi__094,audio/hi__094.wav,1,3.6,3.8,hold
hi__094,audio/hi__094.wav,2,4.6,5.0,hold
hi__094,audio/hi__094.wav,3,5.9,6.1,hold
hi__094,audio/hi__094.wav,4,7.1,7.2,hold
hi__094,audio/hi__094.wav,5,8.0,9.377,eot
hi__096,audio/hi__096.wav,0,5.6,5.9,hold
hi__096,audio/hi__096.wav,1,9.2,9.5,hold
hi__096,audio/hi__096.wav,2,11.1,11.6,hold
hi__096,audio/hi__096.wav,3,15.0,15.315,eot
hi__097,audio/hi__097.wav,0,3.8,4.0,hold
hi__097,audio/hi__097.wav,1,9.8,10.2,hold
hi__097,audio/hi__097.wav,2,11.5,11.7,hold
hi__097,audio/hi__097.wav,3,13.2,13.3,hold
hi__097,audio/hi__097.wav,4,14.7,15.7,hold
hi__097,audio/hi__097.wav,5,19.2,19.673,eot
hi__098,audio/hi__098.wav,0,13.8,14.82,eot
